nombre,recomendacion de itinerario,direccion,estado,enlace al sitio en google maps
KOSINA,https://www.youtube.com/embed/L2mkweB3lds?feature=oembed,"Sor Juana Ines de la Cruz #64, Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4450436%2C-99.15791379999999&query_place_id=ChIJlw9zYTv50YUROU31aTGYUrw
RESTAURANTE AMALIA,https://www.youtube.com/embed/Yf8z5rSlcn0?feature=oembed,"Calle Violeta 57, col. Buenavista",En operaciones,https://www.google.com/maps/search/?api=1&query=19.408342%2C-99.145251&query_place_id=ChIJd76Fi9H_0YURynHWfmje7vw
BAR EL HIPOPÓTAMO,https://www.youtube.com/embed/d9z4ZDCrTsE?feature=oembed,"Avenida Brasil #401, San Telmo, Buenos Aires",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4024249%2C-99.1719737&query_place_id=ChIJOQAvtLv_0YURN-h_YJXtNE0
CALDOS DE GALLINA “EL GORDITO”,https://www.youtube.com/embed/TF4rERilVvU?feature=oembed,"Av. Ricardo Flores Magón 325, Atlampa",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4545237%2C-99.15424519999999&query_place_id=ChIJVVWhdN340YURNm2GfVNZKmo
COYOTA,https://www.youtube.com/embed/ICujUu1X4qY?feature=oembed,"Jardín Mascarones, Santa María La Ribera no. 12, Local 9",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4418705%2C-99.1587397&query_place_id=ChIJJWEWAGz50YURjRB3uIQdonY
EL ACETATO CAFÉ,https://www.youtube.com/embed/0dsC-VO_dIo?feature=oembed,"Puerto Topolobampo 56, col. Casas Alemán",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4765603%2C-99.085365&query_place_id=ChIJszsLr8770YURDo8w8_lBe3c
LAS PANAS,https://www.youtube.com/embed/vip9vQzPjGk?feature=oembed,"Av. del Taller #32, col. Tránsito",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4134098%2C-99.1333846&query_place_id=ChIJkwoJpSr_0YURBQa06III420
LOS 3 KUINITOS,https://www.youtube.com/embed/vNrj4YlNkVA?feature=oembed,"Degollado 142 B, col. Guerrero, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4458448%2C-99.1450484&query_place_id=ChIJx9c68if50YURsg8d0OKwRvM
CENADURÍA PORTALES DE SAN FRANCISCO,https://youtu.be/35KOmlJz8rg,"Calle 10 #86, Barrio de San Francisco, Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.850671%2C-90.52359899999999&query_place_id=ChIJP0xcWFQx-IUR5rUT7Fl_vZE
TAQUERÍA CHICO CHÉ,https://youtu.be/aNTpBYJW-Zg,"Calle 10, Barrio de San Francisco, Campeche",Cerrado temporalmente,https://www.google.com/maps/search/?api=1&query=19.4364254%2C-99.1748617&query_place_id=ChIJsyomw7P40YURqBDjLkiUPlw
TAQUERÍA NORMA RUELAS,https://youtu.be/GzUyU8mW7Dk,"Fidel Velázquez, # 24023, San Francisco de Campeche",En operaciones,https://www.google.com/maps/search/?api=1&query=19.2929546%2C-99.0362064&query_place_id=ChIJEzmdnP4DzoURK7UbyRthpoM
EL MERCADITO PERUANO,https://www.youtube.com/embed/1mKI1H6XjZw?feature=oembed,"Mercado de San Juan, 2ᵃ Calle de Ernesto Pugibet s/n, local 279, col. Centro",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4299888%2C-99.14466399999999&query_place_id=ChIJ__8_dtX-0YUR9r52650O094
PASTELERÍA LANDHAUS,https://www.youtube.com/embed/tBioNY99cMw?feature=oembed,"Giotto 30, Mixcoac",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3748906%2C-99.1894915&query_place_id=ChIJ36cAfIf_0YURmBtCr_gwVP0
LA CASA DEL PAVO,https://www.youtube.com/embed/_0EchVt8VnE?feature=oembed,"Calle de Motolinia 40, col. Centro",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4326461%2C-99.13737160000001&query_place_id=ChIJkxZ7KNP-0YURwOJgWbKCD4o
CUARENTENA BAKING,https://www.youtube.com/embed/3X9tP8_vWDQ?feature=oembed,"Puebla 57, Roma Norte",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4236792%2C-99.1572113&query_place_id=ChIJP5wy0t__0YURisY0xP7A8DE
JAWA RESTAURANTE DE INDONESIA,https://www.youtube.com/embed/MuaMUDnDmrQ?feature=oembed,"Alejandro Dumas 125, Polanco",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4321322%2C-99.19550729999999&query_place_id=ChIJw7Qxj3kD0oURBugow0fSsGA
CUBA CARIBE,https://www.youtube.com/embed/3srcYZlxJGw?feature=oembed,"Isabel La Católica 423, Obrera, Cuauhtémoc, 06800 Ciudad de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4085773%2C-99.1391857&query_place_id=ChIJx2kOeS7_0YURkvdVk6Sqp9w
PUPUSAS SALVADOREÑAS MELI,https://www.youtube.com/embed/V_8Bvo3mbLc?feature=oembed,"Gral. Heriberto Jara 90, Constitución de 1917, Iztapalapa",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3498456%2C-99.0585672&query_place_id=ChIJuUYySLn90YUR-tUtPSZVKho
BIRRIA TECATITLÁN,https://www.youtube.com/embed/XNWs3ls6vxM?feature=oembed,"Nogal 12, Santa María la Ribera",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4710483%2C-103.3076197&query_place_id=ChIJiaIMBuqTL4QRWN3Ve2Mv2pE
TAQUERÍA LOS CARAMELOS,https://www.youtube.com/embed/NNDw-FSJPnw?feature=oembed,"Bajío 321, Roma Sur",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4027915%2C-99.1686695&query_place_id=ChIJnZBjSN3_0YURnkzMrNIlI6E
LAS BRUJAS WITCHCRAFT CAFÉ,https://www.youtube.com/embed/JVoa2oSAI-o?feature=oembed,"Rubens 67, col. San Juan Mixcoac",En operaciones,https://www.google.com/maps/search/?api=1&query=19.3778028%2C-99.18394959999999&query_place_id=ChIJq9v0c8X_0YUR9dJ8PCWgGCo
MONJAS CLARISAS DE SAN JUANICO,https://www.youtube.com/embed/sB7BD9a0iXk?feature=oembed,"Tláloc 3, Tlalnepantla, Estado de México",En operaciones,https://www.google.com/maps/search/?api=1&query=19.5184432%2C-99.11024929999999&query_place_id=ChIJWx2Vkfr50YURONOoF9sMKYY
MEGA ANTOJITOS MEXICANOS MARTÍNEZ,https://www.youtube.com/embed/8vIO6e2EcZk?feature=oembed,"Prolongación Cerrada José López Bonaga #260, Local 197",En operaciones,https://www.google.com/maps/search/?api=1&query=19.6610512%2C-99.0984771&query_place_id=ChIJZ_7bqUXz0YURdmrfQiPlzSQ
CASA KIM,https://fb.watch/lDoZ1pAT2z/,"Av. Insurgentes Sur 488, col. Roma Sur",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4041332%2C-99.1684708&query_place_id=ChIJyz5bkin_0YURwUc6fYJ1uug
VENDAVAL,https://www.youtube.com/embed/tGOnYBzQpxs?feature=oembed,"Guillermo Prieto 46, col. San Rafael",En operaciones,https://www.google.com/maps/search/?api=1&query=19.4373956%2C-99.1626331&query_place_id=ChIJM159oYf50YURqlC1-XjOpXQ
